estaca;Area;Esfuerzo;size;distancia;m;c
31;35;1;17;13;16;1
31;35;1;21;14;21;0
31;35;1;16;15;15;1
31;35;1;13;16;13;0
31;35;1;8;17;8;0
31;35;1;11;18;10;1
31;35;1;13;19;13;0
31;35;1;2;20;2;0
32;35;1;2;6;1;1
32;35;1;2;7;1;1
32;35;1;6;8;5;1
32;35;1;8;9;8;0
32;35;1;5;10;5;0
32;35;1;6;11;6;0
32;35;1;4;12;3;1
32;35;1;8;13;6;2
32;35;1;15;14;14;1
32;35;1;10;15;10;0
32;35;1;18;16;16;2
32;35;1;8;17;8;0
32;35;1;11;18;10;1
32;35;1;9;19;4;5
32;35;1;10;20;7;3
33;35;1;1;6;1;0
33;35;1;1;7;1;0
33;35;1;1;8;1;0
33;35;1;1;9;1;0
33;35;1;1;10;1;0
33;35;1;4;12;4;0
33;35;1;1;13;1;0
33;35;1;7;15;7;0
33;35;1;1;18;1;0
34;35;1;1;1;0;1
34;35;1;1;2;0;1
34;35;1;4;3;4;0
34;35;1;5;4;4;1
34;35;1;5;5;4;1
34;35;1;3;6;2;1
34;35;1;9;7;5;4
34;35;1;12;8;6;6
34;35;1;10;9;5;5
34;35;1;11;10;5;6
34;35;1;9;11;6;3
34;35;1;7;12;4;3
34;35;1;20;13;10;10
34;35;1;8;14;2;6
34;35;1;20;15;10;10
34;35;1;11;16;5;6
34;35;1;20;17;9;11
34;35;1;19;18;12;7
34;35;1;10;19;5;5
34;35;1;1;20;1;0
35;35;1;2;2;2;0
35;35;1;2;3;2;0
35;35;1;1;4;1;0
35;35;1;4;5;4;0
35;35;1;3;6;3;0
35;35;1;7;7;6;1
35;35;1;6;8;5;1
35;35;1;2;9;2;0
35;35;1;4;10;3;1
35;35;1;4;11;4;0
35;35;1;2;12;2;0
35;35;1;9;13;9;0
35;35;1;4;14;4;0
35;35;1;15;15;15;0
35;35;1;8;16;8;0
35;35;1;15;17;15;0
35;35;1;13;18;13;0
35;35;1;8;19;8;0
35;35;1;18;20;18;0
36;35;1;2;2;2;0
36;35;1;2;3;2;0
36;35;1;3;4;3;0
36;35;1;2;5;2;0
36;35;1;2;6;2;0
36;35;1;5;7;5;0
36;35;1;11;8;11;0
36;35;1;21;9;21;0
36;35;1;20;10;20;0
36;35;1;24;11;24;0
36;35;1;19;12;19;0
36;35;1;30;13;30;0
36;35;1;34;14;34;0
36;35;1;28;15;28;0
36;35;1;27;16;27;0
36;35;1;31;17;31;0
36;35;1;12;18;12;0
36;35;1;20;19;20;0
36;35;1;12;20;12;0
37;35;1;4;3;0;4
37;35;1;7;4;7;0
37;35;1;9;5;9;0
37;35;1;5;6;5;0
37;35;1;6;7;5;1
37;35;1;7;8;5;2
37;35;1;2;9;2;0
37;35;1;9;10;8;1
37;35;1;4;11;2;2
37;35;1;3;12;1;2
37;35;1;9;13;6;3
37;35;1;5;14;4;1
37;35;1;13;15;7;6
37;35;1;13;16;12;1
37;35;1;13;17;11;2
37;35;1;18;18;15;3
37;35;1;8;19;7;1
37;35;1;44;20;38;6
38;35;1;10;1;10;0
38;35;1;4;2;4;0
38;35;1;3;3;3;0
38;35;1;3;4;3;0
38;35;1;4;5;4;0
38;35;1;5;6;5;0
38;35;1;8;7;8;0
38;35;1;10;8;10;0
38;35;1;7;9;7;0
38;35;1;22;10;22;0
38;35;1;10;11;10;0
38;35;1;21;12;21;0
38;35;1;23;13;23;0
38;35;1;11;14;11;0
38;35;1;2;15;2;0
38;35;1;1;16;1;0
38;35;1;5;17;5;0
38;35;1;5;18;5;0
38;35;1;12;19;12;0
38;35;1;10;20;10;0
39;35;1;1;3;1;0
39;35;1;1;4;1;0
39;35;1;9;8;9;0
39;35;1;9;9;8;1
39;35;1;22;10;22;0
39;35;1;7;11;6;1
39;35;1;18;12;18;0
39;35;1;19;13;19;0
39;35;1;17;14;15;2
39;35;1;13;15;13;0
39;35;1;17;16;16;1
39;35;1;35;17;34;1
39;35;1;43;18;42;1
39;35;1;42;19;40;2
39;35;1;28;20;27;1
40;35;1;2;2;2;0
40;35;1;1;3;1;0
40;35;1;2;4;2;0
40;35;1;2;5;1;1
40;35;1;1;6;1;0
