estaca;area;esfuerzo;size;distancia;mata;cueva;ano;mes ;dia;semana;cant_obs
16;34,9898;1;1;5;0;1;2015;;;;
16;34,9898;1;5;6;0;5;2015;;;;
16;34,9898;1;7;7;0;7;2015;;;;
16;34,9898;1;4;8;0;4;2015;;;;
16;34,9898;1;9;9;0;9;2015;;;;
16;34,9898;1;8;10;0;8;2015;;;;
16;34,9898;1;4;11;0;4;2015;;;;
16;34,9898;1;9;12;3;6;2015;;;;
16;34,9898;1;11;13;4;7;2015;;;;
16;34,9898;1;12;14;4;8;2015;;;;
16;34,9898;1;10;15;5;5;2015;;;;
16;34,9898;1;6;16;4;2;2015;;;;
16;34,9898;1;7;17;0;7;2015;;;;
16;34,9898;1;6;18;0;6;2015;;;;
16;34,9898;1;6;19;0;6;2015;;;;
16;34,9898;1;14;20;0;14;2015;;;;
17;34,9898;1;1;2;0;1;2015;;;;
17;34,9898;1;1;4;0;1;2015;;;;
17;34,9898;1;3;5;3;0;2015;;;;
17;34,9898;1;9;6;8;1;2015;;;;
17;34,9898;1;6;7;5;1;2015;;;;
17;34,9898;1;6;8;4;2;2015;;;;
17;34,9898;1;7;9;6;1;2015;;;;
17;34,9898;1;9;10;4;5;2015;;;;
17;34,9898;1;16;11;11;5;2015;;;;
17;34,9898;1;7;12;6;1;2015;;;;
17;34,9898;1;8;13;6;2;2015;;;;
17;34,9898;1;16;14;13;3;2015;;;;
17;34,9898;1;13;15;11;2;2015;;;;
17;34,9898;1;15;16;12;3;2015;;;;
17;34,9898;1;17;17;17;0;2015;;;;
17;34,9898;1;30;18;25;5;2015;;;;
17;34,9898;1;19;19;16;3;2015;;;;
17;34,9898;1;17;20;15;2;2015;;;;
18;34,9898;1;4;2;4;0;2015;;;;
18;34,9898;1;2;3;2;0;2015;;;;
18;34,9898;1;5;4;5;0;2015;;;;
18;34,9898;1;4;6;4;0;2015;;;;
18;34,9898;1;7;7;7;0;2015;;;;
18;34,9898;1;11;8;11;0;2015;;;;
18;34,9898;1;8;9;8;0;2015;;;;
18;34,9898;1;16;10;16;0;2015;;;;
18;34,9898;1;8;11;8;0;2015;;;;
18;34,9898;1;12;12;12;0;2015;;;;
18;34,9898;1;23;13;23;0;2015;;;;
18;34,9898;1;20;14;20;0;2015;;;;
18;34,9898;1;18;15;17;1;2015;;;;
18;34,9898;1;20;16;19;1;2015;;;;
18;34,9898;1;8;17;7;1;2015;;;;
18;34,9898;1;13;18;10;3;2015;;;;
18;34,9898;1;13;19;12;1;2015;;;;
18;34,9898;1;15;20;15;0;2015;;;;
19;34,9898;1;2;2;2;0;2015;;;;
19;34,9898;1;4;3;4;0;2015;;;;
19;34,9898;1;8;5;8;0;2015;;;;
19;34,9898;1;3;6;3;0;2015;;;;
19;34,9898;1;4;8;4;0;2015;;;;
19;34,9898;1;4;10;4;0;2015;;;;
19;34,9898;1;5;11;5;0;2015;;;;
19;34,9898;1;6;12;6;0;2015;;;;
19;34,9898;1;5;13;3;2;2015;;;;
19;34,9898;1;4;14;4;0;2015;;;;
19;34,9898;1;8;15;8;0;2015;;;;
19;34,9898;1;3;16;3;0;2015;;;;
